title,rate,casting,director,year,genre,user_review,link
Dune: Part One,8.0,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac', 'Jason Momoa']",Denis Villeneuve,2021.0,action,"Everything from the visuals to the score and acting was easy 10/10. The only issue I had was the development and backstory behind each of the main characters, which I feel could've been handled a bit better. This film is definitely not going to be everyone's cup of tea when it comes to pacing, but I personally liked that it took its time and had no issue with it. Dune is easily one of the best films I have seen in a long time and in terms of scale and epicness it is right up there with Lord of the Rings.",https://www.imdb.com/title/tt1160419/?ref_=sr_i_11
Fallout,8.7,"['Ella Purnell', 'Aaron Moten', 'Walton Goggins', 'Moises Arias', 'Leslie Uggams']",Creators,2024.0,action,"As an avid Fallout player, I was both excited and a bit worried to hear about the show. It seems like many of the recent adaptations have fallen flat and abandoned aspects of the original material which were vital to the essence of what made it special. Happily, the show exceeded my expectations and kept the violent, fun, retro atmosphere. Great casting, plot, costumes, makeup, set design, and perhaps most importantly, music. Overall, the show was very well done and remained true to the imagery of the game, albeit with some points I think could have been done differently with better effect. Ad Victoriam.",https://www.imdb.com/title/tt12637874/?ref_=sr_i_12
The Rookie,8.0,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil"", 'Eric Winter']",Creator,2018.0,action,"Please bring this show back for a second season. Nathan has many fans, not to mention the rest of the cast is great. Pls pls pls.",https://www.imdb.com/title/tt7587890/?ref_=sr_i_13
Damsel,6.1,"['Millie Bobby Brown', 'Ray Winstone', 'Angela Bassett', 'Brooke Carter', 'Nick Robinson']",Juan Carlos Fresnadillo,2024.0,action,"I don't really understand why people expect masterpieces from every new movie release.Damsel is fun, entertaining, special effects are really good, better than latest summer blockbusters with bigger budgets (despite what IGN says) and the plot delivers exactly what it sells. This is not an indie Oscar Winner movie and it doesn't pretend to be neither.Stop trying to look for art in everything, like there are Bethoveen masterpieces and Tomorrowland EDM music to just jump around there are also movies to admire with all your senses and movies to enjoy on a Sunday evening.The movie is good and it doesn't deserve to be bashed because people were looking for another Schindler's List on it.",https://www.imdb.com/title/tt13452446/?ref_=sr_i_14
The Gentlemen,7.8,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong', 'Lyne Renée']",Guy Ritchie,2019.0,action,"Matthew McConaughey, who has become one of the major players in the British weed trade through science, paying poor noblemen to let him stash his farms on their property, and a judicious amount of leg-breaking, thinks it's time to retire. He offers to sell his business to a fellow entrepreneur for £400,000,000, but other people in the illegal fun trade have their own agendas.Guy Ritchie has returned to his early themes of violence, chaos, and rock&roll from his early career, and has scored a definite hit, with some fine performances, including a blank-faced one by Charlie Hunnam and an outsized comedy turn by Colin Farrell. Hugh Grant does well as the unwanted on-screen narrator of events, putting them into some order; I am impressed by his lack of a posh accent, event as I wished Ritchie had been able to think of a better way of telling the audience the story.Even with that cavil, the unceasing action and insanity kept me more than interested throughout.",https://www.imdb.com/title/tt8367814/?ref_=sr_i_15
Star Trek: Discovery,7.0,"['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Emily Coutts', 'Mary Wiseman']",Creators,2017.0,action,"The first season was ok and had a promising start but it rapidly decayed into a sappy soap opera set in the Star Trek universe. The characters in the show and the plot have all the potential needed but the continuing agony of ongoing psychology sessions (they call them episodes) is making me reconsider my future and I'll need counselling, long into the future, for having watched this. Writing this is part of my exposure therapy after season 4 where my brain was set to stun. But seriously, so disappointed that the focus was on giving out life lessons and not writing good Star Trek stories. I get it that you can have positive messages in shows, not a bad thing, but this is just way too much, at the expense of a potentially good series.In my personal unscientific rating scale 4=Forced myself to watch to the end but didn't really enjoy and won't watch it again.",https://www.imdb.com/title/tt5171438/?ref_=sr_i_16
Kung Fu Panda 4,6.4,"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston']",Mike Mitchell,2024.0,action,"I think the title of my review says it all. If I had to come up with a word to describe the film, it would merely be, ""passable."" I chuckled a couple of times and my kids (6 & 7) loved it. At the end of the day, I suppose that's money well spent. That being said, I am a huge fan of many DreamWorks franchises, including the first 3 KFP films, with the 3rd installment being the weakest of them, but still a good time. Compared to KP4, which didn't really add anything to the franchise, the 3rd film is a masterpiece. I found the pacing and the humor of KP4 all over the map. It felt like the film was rushing the audience along without time to really feel any of the emotions it wanted us to feel. It felt like a Saturday morning cartoon rather than a memorable addition to the KFP film canon.So, in the end, I'm glad my kids loved it because I am promptly going to forget everything about this movie. When I think of KFP, scenes like Po finding inner peace in the ruins of his village in KFP 2 will always readily come to mind. I will continue to laugh at the jokes in the first 3 films, but even now I'm struggling to recall the best jokes of KFP4 and I just saw it not even an hour ago. The best, most enduring part of this movie is callback to villains of the previous films. Otherwise, it was one big colorful, fast-paced ""Meh.""The kids will enjoy it though.",https://www.imdb.com/title/tt21692408/?ref_=sr_i_17
Halo,7.3,"['Pablo Schreiber', 'Shabana Azmi', 'Natasha Culzac', 'Olive Gray', 'Yerin Ha']",Creators,2022.0,action,"Let me first say that this is still not Halo. However, season 2 is a huge step up from season one, and is actually now a show that I enjoy and look forward to watching. However, it is still not Halo, but damn if season two has not had a few bangers of episodes and you actually care about these characters now, unlike season one. Not sure what changed behind the scenes, but it was a good thing, whatever happened.I watched season one because of the effects, which were pretty great! Now, I'm watching because of the story too, which is pretty good! I used to watch the old school Doctor Who because of the story, not the effects budget, which was probably about $150. Story is everything, and this show is starting to have both a good story and big budget. Bravo!",https://www.imdb.com/title/tt2934286/?ref_=sr_i_18
X-Men '97,9.0,"['Lenore Zann', 'Matthew Waterson', 'Cal Dodd', 'A.J. LoCascio', 'George Buza']",Creators,2024.0,action,"This review captures what made the original great. I loved the writing in the first two episodes, it reminds me when I was a kid listening to those epic moments of grandeur dialog from the likes of Apocalypse, and famous quotes and wise sayings from Beast. This gave that same kind of vibe early on within the first two episodes.This seems to pic up where the 90s Saturday morning cartoon left off. What was corny and cool for me as a kid, has been adapted now to be still good writing but not perceived as corny as an adult. In that regard they seemed to have nail their audience, they know that the people watching this would be in their 30s and 40s now. And it seems written for us.",https://www.imdb.com/title/tt16026746/?ref_=sr_i_19
9-1-1,7.9,"['Angela Bassett', 'Peter Krause', 'Oliver Stark', 'Aisha Hinds', 'Kenneth Choi']",Creators,2018.0,action,"I don't usually write reviews, but I felt the need to combat all the 1's and 2's. I think those people watched the pilot and gave up. Yes, the pilot is a bit weak, and there are scenes that are a bit ridiculous, but I just watched the 4th episode and holy shit. Stick with it people, it gets better.",https://www.imdb.com/title/tt7235466/?ref_=sr_i_20
Vikings,8.5,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst', 'Alex Høgh Andersen']",Creator,2013.0,action,"The first 3 seasons are excellent. I used to recommend this series to all my friends. Few episodes, good story, unique characters. Then the fame came and brought greed. History Channel decided to double the earnings by doubling the number of episodes in season 4. Without enough content to fill the episodes, the show became slow and boring. I decided to stop watching it by the end of season 4 because I realized it was declining. I don't want to screw up my good memories.",https://www.imdb.com/title/tt2306299/?ref_=sr_i_21
House of the Dragon,8.4,"['Matt Smith', ""Emma D'Arcy"", 'Olivia Cooke', 'Rhys Ifans', 'Graham McTavish']",Creators,2022.0,action,Carrying the nostalgia of Game of thrones into this and comparing everything with the original...i would say this looks pretty awesome and you get the feel of watching original game of thrones... its the same but different characters...Hope we will fall in love with them as the season progresses.... A good ist episode..,https://www.imdb.com/title/tt11198330/?ref_=sr_i_22
Masters of the Air,7.9,"['Callum Turner', 'Anthony Boyle', 'Austin Butler', 'Darragh Cowley', 'Matt Gavan']",All cast & crew,2024.0,action,"The RAF lost 55000 out of 125000 aircrew on bombing missions. In June 1942 it launched 1000 bomber raids on Nazi Germany and became the technology leader in air warfare with tech that far surpassed the Norton bombsight. It was not crewed by arisyo toffs. It was a young force (1918) crewed mainly by middle class and working class Brits plus thousands of Australians, Canadians, New Zealanders, Poles, South Africans and others.Do, why does Masters of the Air go out of its way to disrespect Britain and the RAF? The story of the 100th Bomb Group and the 8th Air Force is s monumental story that does not need to denigrate it's allies to score some cheap shot. The bombing campaign was a team effort and all the young men involved should be treated with the respect they deserve.",https://www.imdb.com/title/tt2640044/?ref_=sr_i_23
Love Lies Bleeding,7.3,"['Anna Baryshnikov', 'Kristen Stewart', 'Dave Franco', ""Katy O'Brian"", 'Jena Malone']",Rose Glass,2024.0,action,"I went into Love Lies Bleeding expecting to watch just another thriller, maybe with a dash of feminism and lgbtq rights, for taste. What was my surprise when I discovered a real movie.Love Lies Bleeding is one of those movies that catches you from the beginning and never lets you go. Is the filmmaking style a bit excessive? Yes. Sometimes almost inelegant? Yes. It uses a few too many tricks a little too frequently. But the result remains captivating, diving into the world of female body builders while mixing film genres and cinematographic styles, to create a unique film. One that, by the way, is genuinely feminist and lgbtq in an original and authentic way.Kirsten Stewart is outstanding, confirming her as one of the greatest talents in Hollywood today.",https://www.imdb.com/title/tt19637052/?ref_=sr_i_24
Gen V,7.7,"['Jaz Sinclair', 'Lizze Broadway', 'Maddie Phillips', 'London Thor', 'Derek Luh']",Creators,2023.0,action,"I'm older so was very concerned this would be too YA for me, but I gave the first episode a chance and ended up watching all 3 released episodes. The show has the same feel of Boys, but a bit more serious and less outright comical - although there are some very funny bits.I see a lot of complaints about the lead actress - who is very pretty by the way. I see comments like she is unlikeable. However, if you watch all 3 released epis you will see her character evolve and evolve again. Give her a chance. Her power is quite bizarre. The manifestation of it is a horror. However, it has some interesting applications that one might not see at first until it is used. I believe her and the girl playing her roommate, are actresses to watch out for in the future.In fact, the young cast as a whole, all unknown to me, are very solid. The blond who dates Golden Boy (played by Arnie's son) stood out to me as well, as does the guy who plays the Magneto-like supe.Clancy Brown has a small but important role with this one soliloquy that was excellently done, and just evil.If you like The Boys, then I don't see why you would not like this show.",https://www.imdb.com/title/tt13159924/?ref_=sr_i_25
NCIS: Naval Criminal Investigative Service,7.8,"['David McCallum', 'Sean Murray', 'Mark Harmon', 'Brian Dietzen', 'Rocky Carroll']",Creators,2003.0,action,"This has become my favorite regular show on the main networks.  The stories are good enough to keep me watching and the character interplay can be quite amusing at times.  Gibbs is great...watching the others react to him makes me chuckle.  Abby is perfectly believable, despite the goth overtones...she is strong, smart, yet still sexy and feminine.  I think Pauley Perette was the ideal actress to cast.  The writing seems to continue at an even keel...if nothing else getting better as more episodes are shown.  I think the producers have a hit here.  I go back each week.  Definitely worth your time...even if it means taping or tivo'ing it (which I do)...something to look forward to when I can't make 8:00 on Tuesday.",https://www.imdb.com/title/tt0364845/?ref_=sr_i_26
Avatar: The Last Airbender,7.2,"['Gordon Cormier', 'Kiawentiio', 'Ian Ousley', 'Dallas Liu', 'Paul Sun-Hyung Lee']",Creator,2024.0,action,"As a longtime fan of ""Avatar: The Last Airbender,"" I approached Netflix's adaptation with cautious optimism. Unfortunately, what I found was a series that fell short of capturing the magic and depth of the original.One of the most glaring issues was the lackluster dialogue. Lines that were iconic in the original series were either altered beyond recognition or delivered with a lack of emotion. For example, the pivotal moment when Aang emerges from the iceberg and speaks to Katara lacked the sincerity and charm that made the scene memorable. Instead of the heartfelt exchange between two characters meeting for the first time, it felt forced and flat.Aang: ""I need to ask you something. Please, come closer.""
Katara: ""What is it?""
Aang: ""Will you go penguin sledding with me?""Moreover, the adaptation failed to capture the essence of the characters. Aang, Katara, and Sokka lacked the depth and development that made them so beloved in the original series. Instead of complex and nuanced personalities, they felt one-dimensional and uninspired.Overall, Netflix's adaptation of ""Avatar: The Last Airbender"" missed the mark. While the visual effects were impressive and the production value was high, it ultimately failed to capture the heart and soul of the original series. Fans of the original will likely be disappointed by this lackluster adaptation.Rating: 6/10.",https://www.imdb.com/title/tt9018736/?ref_=sr_i_27
The Boys,8.7,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty', 'Jessie T. Usher']",Creator,2019.0,action,"The Boys is one of the best Superhero shows I've ever seen. While Season 1 was the best season of the series, Season 2 and 3 were also both very good and absolutely worth watching. Season 3 was fantastic, Jensen Ackles was the perfect actor to add to this already incredible show! This show continues to amaze as it's not afraid to try new things and is a show that is definitely for adults. It has no problems being offensive and making you feel squeamish. You don't even have to be a fan of superhero shows to enjoy this. It's violent, funny, thrilling, etc.. Everything you want in a good superhero show. Season 4 just added Jeffrey Dean Morgan to the cast. Another great addition to an already incredible cast. I don't know what else I can say except I absolutely love this series and can't wait for more to come!",https://www.imdb.com/title/tt1190634/?ref_=sr_i_28
Star Wars: The Bad Batch,7.8,"['Ming-Na Wen', 'Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal', 'Ben Diskin']",Creators,2021.0,action,"This show is very much like clone wars as it balances dark and serious moments with fun and lighthearted! In Clone Wars some of the arcs were mature and amazing that build upon the movies and cannon, while some felt like dumb filler with no purpose!The same goes for this show, as some of the episodes are side quests, mainly aimed for kids, and some of the episodes contribute to the overall story, are more dark and mature, especially in season two, and aimed for the more mature or older audience who grew up watching The Clone Wars and the movies!I would say you dont need to watch every episode! Some of the filler episodes can be skipped and you wont miss out! I skipped some of the filler in season two and I enjoyed that season more than one!The animation though is amazing and that goes for every episode, even the ones that don't matter! Soundtrack is also fantastic as it creates a vibe unique to this show!The show might have its ups and downs but is still better than some of the live action star wars shows!Excited for season 3.",https://www.imdb.com/title/tt12708542/?ref_=sr_i_29
Le salaire de la peur,4.5,"['Franck Gastambide', 'Alban Lenoir', 'Sofiane Zermani', 'Ana Girardot', 'Bakary Diombera']",Julien Leclercq,2024.0,action,This is the second adaptation of the french movie and this time netflix gives it a spin. It's not a film that was needed to be made in any capacity but for what it's worth it was atleast enjoyable for the most part. So there's this oil refinery. It's pressure is mounting to dangerous levels and if it ends up exploding it would cause problems for a lot of people. A team are sent it to for some reason grab nitroglycerin from a compound so it can be driving into the raging fire of the refinery and blown in order to save everyone. Now this makes no sense atleast to me and it's very vague but atleast the cast seemed to be decent enough.,https://www.imdb.com/title/tt27487473/?ref_=sr_i_30
Ore dake Level Up na Ken,8.4,"['Taito Ban', 'Aleks Le', 'Min Seung-woo', 'Haruna Mikawa', 'Rina Honizumi']",Chugong,2024.0,action,"The first two episodes have definitely left me wanting more, the pacing is decent and the main character is likeable and endearing. They also don't shy away from graphic depictions of blood and gore and they don't go overboard with that aspect either. Its looking good.The show is definitely the best I've watched since JJK and I keep looking forward to the next episode . I have grown very attached to the main character due to his courage, seflessness and relentless spirit .I hope it continues to maintain the same level of brilliance in subsequent episodes and will recommend it to as many people as possible.",https://www.imdb.com/title/tt21209876/?ref_=sr_i_31
