title,actor name,director name,year,genre,aggregate value
America 3000,"Zahor, Anat","Engelbach, David",1986,Sci-Fi,"America 3000 (1986) Zahor, Anat Engelbach, David 1986 Sci-Fi"
Edison Kinetoscopic Record of a Sneeze,"Ott, Fred","Dickson, William K.L.",1894,Short,"Edison Kinetoscopic Record of a Sneeze (1894) Ott, Fred Dickson, William K.L. 1894 Short"
Yakuza deka,"Chiba, Sonny","Noda, Yukio",1970,Crime,"Yakuza deka (1970) Chiba, Sonny Noda, Yukio 1970 Crime"
Rocket Gibraltar,"Coleman, Ren?e","Petrie, Daniel",1988,Drama,"Rocket Gibraltar (1988) Coleman, Ren?e Petrie, Daniel 1988 Drama"
Broken English,"Diallo, Makhete","Gleason, Michie",1981,Drama,"Broken English (1981) Diallo, Makhete Gleason, Michie 1981 Drama"
Spice World,"Donovan, Daisy","Spiers, Bob",1997,Comedy,"Spice World (1997) Donovan, Daisy Spiers, Bob 1997 Comedy"
Sphere,"Schreiber, Liev","Levinson, Barry (I)",1998,Horror,"Sphere (1998) Schreiber, Liev Levinson, Barry (I) 1998 Horror"
"Spanish Prisoner, The","Pepe, Neil","Mamet, David",1997,Thriller,"Spanish Prisoner, The (1997) Pepe, Neil Mamet, David 1997 Thriller"
Spawn,"Williamson, Nicol","Dipp?, Mark A.Z.",1997,Horror,"Spawn (1997) Williamson, Nicol Dipp?, Mark A.Z. 1997 Horror"
Speed 2: Cruise Control,"Watkins, Royale","Bont, Jan de",1997,Romance,"Speed 2: Cruise Control (1997) Watkins, Royale Bont, Jan de 1997 Romance"
Armed and Dangerous,"Kaufman, Seth","Lester, Mark L.",1986,Comedy,"Armed and Dangerous (1986) Kaufman, Seth Lester, Mark L. 1986 Comedy"
Ike: Countdown to D-Day,"Gittins, Paul","Harmon, Robert (I)",2004,Drama,"Ike: Countdown to D-Day (2004) (TV) Gittins, Paul Harmon, Robert (I) 2004 Drama"
Control Room,"Khader, Samir","Noujaim, Jehane",2004,Documentary,"Control Room (2004) Khader, Samir Noujaim, Jehane 2004 Documentary"
Coach Carter,"Zielinski, Anna","Carter, Thomas (II)",2005,Drama,"Coach Carter (2005) Zielinski, Anna Carter, Thomas (II) 2005 Drama"
Sprung,"LaTour, Nick","Cundieff, Rusty",1997,Comedy,"Sprung (1997) LaTour, Nick Cundieff, Rusty 1997 Comedy"
Three Kings,"Jones, Patrick O'Neal","Russell, David O.",1999,Comedy,"Three Kings (1999) Jones, Patrick O'Neal Russell, David O. 1999 Comedy"
April Fool's Day,"Barlow, Pat (I)","Walton, Fred (II)",1986,Horror,"April Fool's Day (1986/I) Barlow, Pat (I) Walton, Fred (II) 1986 Horror"
Captive Wild Woman,"Barnett, Vince","Dmytryk, Edward",1943,Horror,"Captive Wild Woman (1943) Barnett, Vince Dmytryk, Edward 1943 Horror"
Susie the Little Blue Coupe,"Holloway, Sterling","Geronimi, Clyde",1952,Short,"Susie the Little Blue Coupe (1952) Holloway, Sterling Geronimi, Clyde 1952 Short"
Miracle on 34th Street,"Howat, Clark","Seaton, George (I)",1947,Comedy,"Miracle on 34th Street (1947) Howat, Clark Seaton, George (I) 1947 Comedy"
Vardaan,Mehmood (I),,1975,,Vardaan (1975) Mehmood (I)  1975
Algol - Trag?die der Macht,"Hofmann, Ernst","Werckmeister, Hans",1920,,"Algol - Trag?die der Macht (1920) Hofmann, Ernst Werckmeister, Hans 1920"
Sudden Fear,"Jackson, Selmer","Miller, David (I)",1952,Horror,"Sudden Fear (1952) Jackson, Selmer Miller, David (I) 1952 Horror"
Dao,"Suet, Nei","Tsui, Hark",1995,Drama,"Dao (1995) Suet, Nei Tsui, Hark 1995 Drama"
Zombie Honeymoon,"Sobestanovich, John","Gebroe, David",2004,Horror,"Zombie Honeymoon (2004) Sobestanovich, John Gebroe, David 2004 Horror"
Space Truckers,"Dorff, Stephen","Gordon, Stuart (I)",1996,Comedy,"Space Truckers (1996) Dorff, Stephen Gordon, Stuart (I) 1996 Comedy"
Bitva za nashu Sovetskuyu Ukrainu,,"Dovzhenko, Aleksandr",1943,War,"Bitva za nashu Sovetskuyu Ukrainu (1943)  Dovzhenko, Aleksandr 1943 War"
Mother Wore Tights,"Borg, Veda Ann","Lang, Walter (I)",1947,Musical,"Mother Wore Tights (1947) Borg, Veda Ann Lang, Walter (I) 1947 Musical"
Target,"Reed, Walter (I)","Gilmore, Stuart",1952,Western,"Target (1952) Reed, Walter (I) Gilmore, Stuart 1952 Western"
"Jackals, The","Courtney, Bob","Webb, Robert D.",1967,Adventure,"Jackals, The (1967) Courtney, Bob Webb, Robert D. 1967 Adventure"
Jag ?r nyfiken - en film i gult,"L?wenadler, Holger","Sj?man, Vilgot",1967,Drama,"Jag ?r nyfiken - en film i gult (1967) L?wenadler, Holger Sj?man, Vilgot 1967 Drama"
100 Rifles,"Brown, Jim (I)","Gries, Tom",1969,Western,"100 Rifles (1969) Brown, Jim (I) Gries, Tom 1969 Western"
Calling Dr. Death,"Moore, Charles R.","Le Borg, Reginald",1943,Horror,"Calling Dr. Death (1943) Moore, Charles R. Le Borg, Reginald 1943 Horror"
Talk About a Stranger,"Gardner, John (IV)","Bradley, David (I)",1952,Drama,"Talk About a Stranger (1952) Gardner, John (IV) Bradley, David (I) 1952 Drama"
Cabin in the Sky,"McQueen, Butterfly","Berkeley, Busby",1943,Fantasy,"Cabin in the Sky (1943) McQueen, Butterfly Berkeley, Busby 1943 Fantasy"
Panic,"Macy, William H.","Bromell, Henry",2000,Comedy,"Panic (2000) Macy, William H. Bromell, Henry 2000 Comedy"
It!,"Goolden, Richard","Leder, Herbert J.",1966,Horror,"It! (1966) Goolden, Richard Leder, Herbert J. 1966 Horror"
Monsieur Vincent,"Gaudeau, Yvonne","Cloche, Maurice",1947,Biography,"Monsieur Vincent (1947) Gaudeau, Yvonne Cloche, Maurice 1947 Biography"
Monsieur Verdoux,"Abbott, Richard (I)","Chaplin, Charles",1947,Comedy,"Monsieur Verdoux (1947) Abbott, Richard (I) Chaplin, Charles 1947 Comedy"
I'll Never Forget What's'isname,"Chong, Mona","Winner, Michael",1967,Comedy,"I'll Never Forget What's'isname (1967) Chong, Mona Winner, Michael 1967 Comedy"
Van God Los,"Avkapan, Selma","Kuijpers, Pieter",2003,Drama,"Van God Los (2003) Avkapan, Selma Kuijpers, Pieter 2003 Drama"
Au-del? des lois humaines,"Sablon, Germaine","Dumont, Marcel (III)",1920,,"Au-del? des lois humaines (1920) Sablon, Germaine Dumont, Marcel (III) 1920"
Tarzan's Savage Fury,"Hart, Dorothy (I)","Endfield, Cy",1952,Action,"Tarzan's Savage Fury (1952) Hart, Dorothy (I) Endfield, Cy 1952 Action"
Cha no aji,"Takeda, Shinji (I)","Ishii, Katsuhito",2004,Comedy,"Cha no aji (2004) Takeda, Shinji (I) Ishii, Katsuhito 2004 Comedy"
Charlotte's Web,"Burness, Courtney Taylor","Winick, Gary (I)",2006,Comedy,"Charlotte's Web (2006) Burness, Courtney Taylor Winick, Gary (I) 2006 Comedy"
In the Heat of the Night,"Richards, Beah","Jewison, Norman",1967,Drama,"In the Heat of the Night (1967) Richards, Beah Jewison, Norman 1967 Drama"
In Like Flint,"Ihnat, Steve","Douglas, Gordon",1967,Comedy,"In Like Flint (1967) Ihnat, Steve Douglas, Gordon 1967 Comedy"
Cake,"Kass, Roger","Ganatra, Nisha",2005,Comedy,"Cake (2005/I) Kass, Roger Ganatra, Nisha 2005 Comedy"
Beauties in Distress,"West, Billy (I)","Chase, Charley",1918,Short,"Beauties in Distress (1918) West, Billy (I) Chase, Charley 1918 Short"
Big Toys No Boys 2,"Mark, Sandra (II)",Trist?n (II),2005,Adult,"Big Toys No Boys 2 (2005) (V) Mark, Sandra (II) Trist?n (II) 2005 Adult"
Three for Bedroom C,"Bell, Rodney (I)","Bren, Milton H.",1952,Comedy,"Three for Bedroom C (1952) Bell, Rodney (I) Bren, Milton H. 1952 Comedy"
Aliens,"Kash, Daniel (I)","Cameron, James (I)",1986,Horror,"Aliens (1986) Kash, Daniel (I) Cameron, James (I) 1986 Horror"
This Woman Is Dangerous,"Webb, Richard (I)","Feist, Felix E.",1952,Drama,"This Woman Is Dangerous (1952) Webb, Richard (I) Feist, Felix E. 1952 Drama"
"Thief, The","Vale, Rita","Rouse, Russell",1952,Drama,"Thief, The (1952) Vale, Rita Rouse, Russell 1952 Drama"
Coral Reef Adventure,"Pyle, Richard","MacGillivray, Greg",2003,Short,"Coral Reef Adventure (2003) Pyle, Richard MacGillivray, Greg 2003 Short"
Woman Thou Art Loosed,"Reed, Jozella","Schultz, Michael (I)",2004,Drama,"Woman Thou Art Loosed (2004) Reed, Jozella Schultz, Michael (I) 2004 Drama"
In Cold Blood,"Levitt, Stan","Brooks, Richard (I)",1967,Drama,"In Cold Blood (1967) Levitt, Stan Brooks, Richard (I) 1967 Drama"
Manpower,"McNutt, Paul V.",,1942,Short,"Manpower (1942) McNutt, Paul V.  1942 Short"
Nightmare Alley,"Holmes, Taylor","Goulding, Edmund",1947,Drama,"Nightmare Alley (1947) Holmes, Taylor Goulding, Edmund 1947 Drama"
Denise Calls Up,"Gunther, Dan (I)","Salwen, Hal",1995,Comedy,"Denise Calls Up (1995) Gunther, Dan (I) Salwen, Hal 1995 Comedy"
O,"Hill, Shawn","Nelson, Tim Blake",2001,Romance,"O (2001) Hill, Shawn Nelson, Tim Blake 2001 Romance"
Tengoku no honya - koibi,"Takeuchi, Yuko","Shinohara, Tetsuo",2004,Drama,"Tengoku no honya - koibi (2004) Takeuchi, Yuko Shinohara, Tetsuo 2004 Drama"
Maine Dil Tujhko Diya,"Tahil, Dalip","Khan, Sohail",2002,Drama,"Maine Dil Tujhko Diya (2002) Tahil, Dalip Khan, Sohail 2002 Drama"
Rennie's Landing,"Wells, Laura","Fusco, Marc (I)",2001,Drama,"Rennie's Landing (2001) Wells, Laura Fusco, Marc (I) 2001 Drama"
"Costa do Castelo, O","Silva, Ant?nio (I)","Duarte, Arthur",1943,Comedy,"Costa do Castelo, O (1943) Silva, Ant?nio (I) Duarte, Arthur 1943 Comedy"
Swing Girls,"Motokariya, Yuika","Yaguchi, Shinobu",2004,Comedy,"Swing Girls (2004) Motokariya, Yuika Yaguchi, Shinobu 2004 Comedy"
Corvette K-225,"McCutchin, Bob","Rosson, Richard (I)",1943,Drama,"Corvette K-225 (1943) McCutchin, Bob Rosson, Richard (I) 1943 Drama"
Nora Prentiss,"Chandler, Eddy","Sherman, Vincent",1947,Drama,"Nora Prentiss (1947) Chandler, Eddy Sherman, Vincent 1947 Drama"
Kursi el iteraf,"Ibrahim, Negma","Wahby, Youssef",1949,Drama,"Kursi el iteraf (1949) Ibrahim, Negma Wahby, Youssef 1949 Drama"
"Nosotros, los pobres","Franco, Lidia (II)","Rodr?guez, Ismael (I)",1948,Drama,"Nosotros, los pobres (1948) Franco, Lidia (II) Rodr?guez, Ismael (I) 1948 Drama"
"Corbeau, Le","Maign?, Liliane","Clouzot, Henri-Georges",1943,Drama,"Corbeau, Le (1943) Maign?, Liliane Clouzot, Henri-Georges 1943 Drama"
This Revolution,"Dawson, Rosario","Marshall, Stephen (III)",2005,Thriller,"This Revolution (2005) Dawson, Rosario Marshall, Stephen (III) 2005 Thriller"
Deadly Sins,"Copping, Jennifer","Robison, Michael",1995,Drama,"Deadly Sins (1995) Copping, Jennifer Robison, Michael 1995 Drama"
Pushpak,"Ramesh, K.S.","Singeetham, Srinivasa Rao",1988,Comedy,"Pushpak (1988) Ramesh, K.S. Singeetham, Srinivasa Rao 1988 Comedy"
Beast Wars Second: Ch? seimeitai Transformer,"Takeuchi, Junko","Sekita, Osamu",1998,Sci-Fi,"Beast Wars Second: Ch? seimeitai Transformer (1998) Takeuchi, Junko Sekita, Osamu 1998 Sci-Fi"
Hulk,"St. Pierre, David (I)","Lee, Ang",2003,Action,"Hulk (2003) St. Pierre, David (I) Lee, Ang 2003 Action"
Brick,"Gordon-Levitt, Joseph","Johnson, Rian",2005,Drama,"Brick (2005) Gordon-Levitt, Joseph Johnson, Rian 2005 Drama"
Coney Island,"Harris, Sam (II)","Lang, Walter (I)",1943,Comedy,"Coney Island (1943) Harris, Sam (II) Lang, Walter (I) 1943 Comedy"
Burlesk King,"Ilustre, Gino","Chionglo, Mel",1999,Drama,"Burlesk King (1999) Ilustre, Gino Chionglo, Mel 1999 Drama"
? nous la libert?,Maximilienne,"Clair, Ren?",1931,Comedy,"? nous la libert? (1931) Maximilienne Clair, Ren? 1931 Comedy"
Commandos Strike at Dawn,"Janssen, Elsa (I)","Farrow, John (I)",1942,Drama,"Commandos Strike at Dawn (1942) Janssen, Elsa (I) Farrow, John (I) 1942 Drama"
Combat America,"Posti, Paul J.",,1943,War,"Combat America (1943) Posti, Paul J.  1943 War"
Odd Man Out,"Brambell, Wilfrid","Reed, Carol (I)",1947,Drama,"Odd Man Out (1947) Brambell, Wilfrid Reed, Carol (I) 1947 Drama"
Deadly Outbreak,"Hyman, Jerry","Avery, Rick",1996,Action,"Deadly Outbreak (1996) Hyman, Jerry Avery, Rick 1996 Action"
Gwiyeowo,"Kim, Seok-hun (II)","Kim, Su-hyeon (II)",2004,Drama,"Gwiyeowo (2004) Kim, Seok-hun (II) Kim, Su-hyeon (II) 2004 Drama"
Tjenare kungen,"Neld?n, Josefin","Malmros, Ulf",2005,Comedy,"Tjenare kungen (2005) Neld?n, Josefin Malmros, Ulf 2005 Comedy"
Plagues and Pleasures on the Salton Sea,"Melvin, Petre","Springer, Jeff (III)",2004,Documentary,"Plagues and Pleasures on the Salton Sea (2004) Melvin, Petre Springer, Jeff (III) 2004 Documentary"
"Heart Is Deceitful Above All Things, The","Davenport, David (VI)","Argento, Asia",2004,Drama,"Heart Is Deceitful Above All Things, The (2004) Davenport, David (VI) Argento, Asia 2004 Drama"
Brave New World,"Kirkland, Sally (I)","Libman, Leslie",1998,Sci-Fi,"Brave New World (1998) (TV) Kirkland, Sally (I) Libman, Leslie 1998 Sci-Fi"
My Favorite Brunette,"Caruso, Anthony (I)","Nugent, Elliott",1947,Comedy,"My Favorite Brunette (1947) Caruso, Anthony (I) Nugent, Elliott 1947 Comedy"
Coneheads,"Bilzerian, Laurence","Barron, Steve",1993,Comedy,"Coneheads (1993) Bilzerian, Laurence Barron, Steve 1993 Comedy"
Chicken Little,"Gill, Florence","Geronimi, Clyde",1943,Short,"Chicken Little (1943) Gill, Florence Geronimi, Clyde 1943 Short"
Neel Kamal,"Khalili, Nafis","Sharma, Kidar Nath",1947,,"Neel Kamal (1947) Khalili, Nafis Sharma, Kidar Nath 1947"
Taarzan: The Wonder Car,"Devgan, Ajay","Burmawalla, Abbas Alibhai",2004,Comedy,"Taarzan: The Wonder Car (2004) Devgan, Ajay Burmawalla, Abbas Alibhai 2004 Comedy"
Chithram,"Venu, Nedumudi",Priyadarshan,1988,Comedy,"Chithram (1988) Venu, Nedumudi Priyadarshan 1988 Comedy"
Nagaya shinshiroku,"Iida, Chouko","Ozu, Yasujiro",1947,Drama,"Nagaya shinshiroku (1947) Iida, Chouko Ozu, Yasujiro 1947 Drama"
Dead Presidents,"Washington, Isaiah (I)","Hughes, Albert (I)",1995,Action,"Dead Presidents (1995) Washington, Isaiah (I) Hughes, Albert (I) 1995 Action"
Nada,"Montes, Conchita","Neville, Edgar",1947,,"Nada (1947) Montes, Conchita Neville, Edgar 1947"
Dead Man Walking,"Penn, Sean (I)","Robbins, Tim (I)",1995,Drama,"Dead Man Walking (1995) Penn, Sean (I) Robbins, Tim (I) 1995 Drama"
Dead Man,"Duckworth, George","Jarmusch, Jim",1995,Drama,"Dead Man (1995) Duckworth, George Jarmusch, Jim 1995 Drama"
Paap,"Mehta, Aishwarya","Bhatt, Pooja (I)",2003,Romance,"Paap (2003) Mehta, Aishwarya Bhatt, Pooja (I) 2003 Romance"
Amor,"Fern?ndez, Severo (I)","Bay?n Herrera, Luis",1940,Comedy,"Amor (1940) Fern?ndez, Severo (I) Bay?n Herrera, Luis 1940 Comedy"
Peaceful Warrior,"Britt, B.J.","Salva, Victor",2006,Drama,"Peaceful Warrior (2006) Britt, B.J. Salva, Victor 2006 Drama"
"Pamana, Ang","Barretto, Cholo","Candido, Romeo",2006,Drama,"Pamana, Ang (2006) Barretto, Cholo Candido, Romeo 2006 Drama"
"Chance of a Lifetime, The","Arnold, Jessie","Castle, William",1943,Drama,"Chance of a Lifetime, The (1943) Arnold, Jessie Castle, William 1943 Drama"
Santa Who?,"Fitzpatrick, Richard (I)","Dear, William",2000,Comedy,"Santa Who? (2000) (TV) Fitzpatrick, Richard (I) Dear, William 2000 Comedy"
Hit Parade of 1943,"Hickman, Cordell","Rogell, Albert S.",1943,,"Hit Parade of 1943 (1943) Hickman, Cordell Rogell, Albert S. 1943"
Age of Consent,"Thring, Frank (I)","Powell, Michael (I)",1969,Comedy,"Age of Consent (1969) Thring, Frank (I) Powell, Michael (I) 1969 Comedy"
Cliffhanger,"Robillard, Kim","Harlin, Renny",1993,Adventure,"Cliffhanger (1993) Robillard, Kim Harlin, Renny 1993 Adventure"
Nicholas Nickleby,"Hayes, Patricia (I)","Cavalcanti, Alberto",1947,Drama,"Nicholas Nickleby (1947) Hayes, Patricia (I) Cavalcanti, Alberto 1947 Drama"
New Orleans,"Winters, Shelley","Lubin, Arthur",1947,Music,"New Orleans (1947) Winters, Shelley Lubin, Arthur 1947 Music"
Bad Company,"Nova, Susana","Santiso, Jos?",1986,Drama,"Bad Company (1986) Nova, Susana Santiso, Jos? 1986 Drama"
12 mesyatsev,"Garin, Erast","Ivanov-Vano, Ivan",1956,Animation,"12 mesyatsev (1956) Garin, Erast Ivanov-Vano, Ivan 1956 Animation"
"Doom Generation, The","Tewes, Lauren","Araki, Gregg",1995,Drama,"Doom Generation, The (1995) Tewes, Lauren Araki, Gregg 1995 Drama"
Back to School,"Kellerman, Sally","Metter, Alan",1986,Comedy,"Back to School (1986) Kellerman, Sally Metter, Alan 1986 Comedy"
Babes in Toyland,"Sosman, Pipo","Donner, Clive",1986,Family,"Babes in Toyland (1986) (TV) Sosman, Pipo Donner, Clive 1986 Family"
Don Juan DeMarco,"Wolfe, Christine","Leven, Jeremy",1995,Comedy,"Don Juan DeMarco (1995) Wolfe, Christine Leven, Jeremy 1995 Comedy"
Elizabethtown,"North, Gregory","Crowe, Cameron",2005,Comedy,"Elizabethtown (2005) North, Gregory Crowe, Cameron 2005 Comedy"
December 7th,"Rosenthal, Mrs. Henry L.","Toland, Gregg",1943,Short,"December 7th (1943) Rosenthal, Mrs. Henry L. Toland, Gregg 1943 Short"
Windy Riley Goes Hollywood,"Merrill, Walter","Arbuckle, Roscoe 'Fatty'",1931,Short,"Windy Riley Goes Hollywood (1931) Merrill, Walter Arbuckle, Roscoe 'Fatty' 1931 Short"
Destination Tokyo,"Bartell, Harry","Daves, Delmer",1943,History,"Destination Tokyo (1943) Bartell, Harry Daves, Delmer 1943 History"
Desert Victory,"von Thoma, Wilhelm","Boulting, Roy",1943,War,"Desert Victory (1943) von Thoma, Wilhelm Boulting, Roy 1943 War"
Tarzan's Desert Mystery,"Corrigan, Lloyd","Thiele, Wilhelm",1943,Action,"Tarzan's Desert Mystery (1943) Corrigan, Lloyd Thiele, Wilhelm 1943 Action"
Shani,"Sharif, Babra","Rizvi, Saeed",1989,,"Shani (1989) Sharif, Babra Rizvi, Saeed 1989"
At Close Range,"Draper, Janie","Foley, James (I)",1986,Drama,"At Close Range (1986) Draper, Janie Foley, James (I) 1986 Drama"
Daredevils of the West,"Parker, Eddie (I)","English, John (I)",1943,Western,"Daredevils of the West (1943) Parker, Eddie (I) English, John (I) 1943 Western"
Ching Se,"Cheung, Maggie","Tsui, Hark",1993,Drama,"Ching Se (1993) Cheung, Maggie Tsui, Hark 1993 Drama"
"Bone Collector, The","Day, Larry (I)","Noyce, Phillip",1999,Thriller,"Bone Collector, The (1999) Day, Larry (I) Noyce, Phillip 1999 Thriller"
"Wei?e Rausch - Neue Wunder des Schneeschuhs, Der","Riefenstahl, Leni","Fanck, Arnold",1931,,"Wei?e Rausch - Neue Wunder des Schneeschuhs, Der (1931) Riefenstahl, Leni Fanck, Arnold 1931"
Dead Men Walk,"Strange, Robert (I)","Newfield, Sam (I)",1943,Horror,"Dead Men Walk (1943) Strange, Robert (I) Newfield, Sam (I) 1943 Horror"
Bad Golf My Way,"Banowetz, Brian","Friedberg, Rick",1994,Comedy,"Bad Golf My Way (1994) (V) Banowetz, Brian Friedberg, Rick 1994 Comedy"
Waterloo Bridge,"Clarke, Mae","Whale, James (I)",1931,Drama,"Waterloo Bridge (1931) Clarke, Mae Whale, James (I) 1931 Drama"
Ast?rix chez les Bretons,"Lumont, Roger","Van Lamsweerde, Pino",1986,Comedy,"Ast?rix chez les Bretons (1986) Lumont, Roger Van Lamsweerde, Pino 1986 Comedy"
Faster,"Capirossi, Loris","Neale, Mark (II)",2003,Documentary,"Faster (2003) Capirossi, Loris Neale, Mark (II) 2003 Documentary"
Die Hard: With a Vengeance,"Binyon, Dory","McTiernan, John (I)",1995,Crime,"Die Hard: With a Vengeance (1995) Binyon, Dory McTiernan, John (I) 1995 Crime"
"Nazis Strike, The","Seyss-Inquart, Arthur","Capra, Frank",1943,Short,"Nazis Strike, The (1943) Seyss-Inquart, Arthur Capra, Frank 1943 Short"
Negro Colleges in War Time,,,1943,Short,Negro Colleges in War Time (1943)   1943 Short
Out West,"Blystone, Stanley","Bernds, Edward",1947,Short,"Out West (1947) Blystone, Stanley Bernds, Edward 1947 Short"
Tonight Is Ours,"Cording, Harry","Walker, Stuart (I)",1933,Drama,"Tonight Is Ours (1933) Cording, Harry Walker, Stuart (I) 1933 Drama"
Blind Flight,"Lahoud, Ziad","Furse, John (II)",2003,Drama,"Blind Flight (2003) Lahoud, Ziad Furse, John (II) 2003 Drama"
Cry 'Havoc',"Hunt, Marsha (I)","Thorpe, Richard (I)",1943,Drama,"Cry 'Havoc' (1943) Hunt, Marsha (I) Thorpe, Richard (I) 1943 Drama"
Belph?gor - Le fant?me du Louvre,"Aussedat, Pierre","Salom?, Jean-Paul",2001,Horror,"Belph?gor - Le fant?me du Louvre (2001) Aussedat, Pierre Salom?, Jean-Paul 2001 Horror"
Out of the Past,"Douglas, Kirk (I)","Tourneur, Jacques",1947,Thriller,"Out of the Past (1947) Douglas, Kirk (I) Tourneur, Jacques 1947 Thriller"
Topaze,"Barrymore, John (I)","d'Arrast, Harry d'Abbadie",1933,Comedy,"Topaze (1933/I) Barrymore, John (I) d'Arrast, Harry d'Abbadie 1933 Comedy"
"Dancing Masters, The","Lloyd, George (I)","St. Clair, Malcolm",1943,Comedy,"Dancing Masters, The (1943) Lloyd, George (I) St. Clair, Malcolm 1943 Comedy"
Torch Singer,"Roberts, Florence (I)","Hall, Alexander (I)",1933,Drama,"Torch Singer (1933) Roberts, Florence (I) Hall, Alexander (I) 1933 Drama"
Dilwale Dulhania Le Jayenge,"Sablok, Arjun","Chopra, Aditya",1995,Comedy,"Dilwale Dulhania Le Jayenge (1995) Sablok, Arjun Chopra, Aditya 1995 Comedy"
Desperado,"Dalton, Mark (I)","Rodriguez, Robert (I)",1995,Crime,"Desperado (1995) Dalton, Mark (I) Rodriguez, Robert (I) 1995 Crime"
Band of the Hand,"Valderrama, Luis","Glaser, Paul Michael",1986,Action,"Band of the Hand (1986) Valderrama, Luis Glaser, Paul Michael 1986 Action"
End of the Century,"County, Wayne","Gramaglia, Michael",2003,Music,"End of the Century (2003) County, Wayne Gramaglia, Michael 2003 Music"
Austin Powers: The Spy Who Shagged Me,"Jay, Tony","Roach, Jay",1999,Comedy,"Austin Powers: The Spy Who Shagged Me (1999) Jay, Tony Roach, Jay 1999 Comedy"
Chai gong,"Chan, Wai-Man","Ching, Siu-Tung",1993,Comedy,"Chai gong (1993) Chan, Wai-Man Ching, Siu-Tung 1993 Comedy"
